t,false_reject,false_reject_rate,false_accept,false_accept_rate
0.0,1439,1.0,0,0.0
0.0869873085213666,1439,1.0,0,0.0
0.1739746170427332,1439,1.0,0,0.0
0.2609619255640998,1439,1.0,0,0.0
0.3479492340854664,1439,1.0,0,0.0
0.434936542606833,1439,1.0,0,0.0
0.5219238511281996,1439,1.0,0,0.0
0.6089111596495662,1439,1.0,0,0.0
0.6958984681709328,1439,1.0,0,0.0
0.7828857766922994,1439,1.0,0,0.0
0.869873085213666,1439,1.0,0,0.0
0.9568603937350326,1439,1.0,0,0.0
1.0438477022563992,1439,1.0,0,0.0
1.1308350107777658,1439,1.0,0,0.0
1.2178223192991324,1439,1.0,0,0.0
1.304809627820499,1439,1.0,0,0.0
1.3917969363418656,1439,1.0,0,0.0
1.4787842448632322,1439,1.0,0,0.0
1.5657715533845988,1439,1.0,0,0.0
1.6527588619059654,1439,1.0,0,0.0
1.739746170427332,1439,1.0,0,0.0
1.8267334789486986,1439,1.0,0,0.0
1.9137207874700652,1439,1.0,0,0.0
2.000708095991432,1439,1.0,0,0.0
2.0876954045127984,1439,1.0,0,0.0
2.174682713034165,1439,1.0,0,0.0
2.2616700215555317,1439,1.0,0,0.0
2.3486573300768985,1439,1.0,0,0.0
2.435644638598265,1439,1.0,0,0.0
2.5226319471196312,1439,1.0,0,0.0
2.609619255640998,1439,1.0,0,0.0
2.696606564162365,1439,1.0,0,0.0
2.7835938726837313,1438,0.9993050729673384,0,0.0
2.8705811812050976,1434,0.9965253648366922,0,0.0
2.9575684897264645,1432,0.995135510771369,0,0.0
3.0445557982478313,1429,0.9930507296733843,0,0.0
3.1315431067691977,1426,0.9909659485753995,0,0.0
3.218530415290564,1422,0.9881862404447533,0,0.0
3.305517723811931,1415,0.9833217512161223,0,0.0
3.3925050323332977,1409,0.9791521890201529,0,0.0
3.479492340854664,1406,0.9770674079221682,1,0.0006949270326615705
3.5664796493760305,1397,0.970813064628214,1,0.0006949270326615705
3.6534669578973973,1382,0.9603891591382905,2,0.001389854065323141
3.740454266418764,1377,0.9569145239749827,2,0.001389854065323141
3.8274415749401305,1365,0.9485753995830438,2,0.001389854065323141
3.914428883461497,1355,0.9416261292564281,2,0.001389854065323141
4.001416191982864,1343,0.9332870048644892,3,0.0020847810979847115
4.0884035005042305,1331,0.9249478804725504,3,0.0020847810979847115
4.175390809025597,1326,0.9214732453092426,3,0.0020847810979847115
4.262378117546963,1307,0.9082696316886727,4,0.002779708130646282
4.34936542606833,1294,0.8992355802640722,4,0.002779708130646282
4.436352734589697,1272,0.8839471855455178,6,0.004169562195969423
4.523340043111063,1259,0.8749131341209173,6,0.004169562195969423
4.61032735163243,1235,0.8582348853370396,7,0.004864489228630994
4.697314660153797,1213,0.842946490618485,7,0.004864489228630994
4.784301968675163,1196,0.8311327310632384,9,0.006254343293954135
4.87128927719653,1170,0.8130646282140376,10,0.006949270326615705
4.958276585717896,1152,0.8005559416261293,10,0.006949270326615705
5.0452638942392625,1131,0.7859624739402363,11,0.007644197359277276
5.13225120276063,1104,0.7671994440583739,12,0.008339124391938846
5.219238511281996,1067,0.7414871438498958,14,0.009728978457261988
5.3062258198033625,1041,0.7234190410006949,16,0.011118832522585128
5.39321312832473,1010,0.7018763029881863,18,0.01250868658790827
5.480200436846096,979,0.6803335649756775,23,0.015983321751216122
5.5671877453674625,957,0.665045170257123,26,0.018068102849200834
5.654175053888829,932,0.6476719944405838,28,0.019457956914523976
5.741162362410195,908,0.6309937456567061,29,0.020152883947185545
5.8281496709315626,869,0.6038915913829048,29,0.020152883947185545
5.915136979452929,843,0.5858234885337039,32,0.022237665045170257
6.002124287974295,820,0.5698401667824878,36,0.02501737317581654
6.089111596495663,797,0.5538568450312717,37,0.02571230020847811
6.176098905017029,767,0.5330090340514246,43,0.029881862404447533
6.263086213538395,740,0.5142460041695622,46,0.031966643502432245
6.350073522059762,713,0.4954829742876998,49,0.034051424600416956
6.437060830581128,694,0.48227936066712995,51,0.035441278665740095
6.524048139102495,669,0.4649061848505907,53,0.03683113273106324
6.611035447623862,636,0.4419735927727589,56,0.03891591382904795
6.698022756145228,620,0.4308547602501737,58,0.04030576789437109
6.785010064666595,600,0.41695621959694235,60,0.04169562195969423
6.871997373187962,579,0.40236275191104937,62,0.043085476025017375
6.958984681709328,561,0.3898540653231411,65,0.045170257123002086
7.0459719902306945,544,0.3780403057678944,70,0.048644892286309936
7.132959298752061,526,0.3655316191799861,75,0.05211952744961779
