t,false_reject,false_reject_rate,false_accept,false_accept_rate
0.0,1165,1.0,0,0.0
0.08743919679267921,1165,1.0,0,0.0
0.17487839358535842,1165,1.0,0,0.0
0.26231759037803765,1165,1.0,0,0.0
0.34975678717071684,1165,1.0,0,0.0
0.43719598396339604,1165,1.0,0,0.0
0.5246351807560753,1165,1.0,0,0.0
0.6120743775487545,1165,1.0,0,0.0
0.6995135743414337,1165,1.0,0,0.0
0.7869527711341129,1165,1.0,0,0.0
0.8743919679267921,1165,1.0,0,0.0
0.9618311647194713,1165,1.0,0,0.0
1.0492703615121506,1165,1.0,0,0.0
1.1367095583048297,1165,1.0,0,0.0
1.224148755097509,1165,1.0,0,0.0
1.311587951890188,1165,1.0,0,0.0
1.3990271486828674,1165,1.0,0,0.0
1.4864663454755467,1165,1.0,0,0.0
1.5739055422682258,1165,1.0,0,0.0
1.661344739060905,1165,1.0,0,0.0
1.7487839358535842,1165,1.0,0,0.0
1.8362231326462635,1165,1.0,0,0.0
1.9236623294389426,1164,0.9991416309012876,0,0.0
2.011101526231622,1163,0.9982832618025751,0,0.0
2.098540723024301,1161,0.9965665236051502,0,0.0
2.1859799198169805,1158,0.9939914163090129,0,0.0
2.2734191166096593,1154,0.9905579399141631,1,0.0008583690987124463
2.3608583134023386,1150,0.9871244635193133,1,0.0008583690987124463
2.448297510195018,1146,0.9836909871244636,1,0.0008583690987124463
2.5357367069876973,1140,0.9785407725321889,1,0.0008583690987124463
2.623175903780376,1134,0.9733905579399141,1,0.0008583690987124463
2.7106151005730554,1131,0.9708154506437768,1,0.0008583690987124463
2.7980542973657347,1126,0.9665236051502146,1,0.0008583690987124463
2.885493494158414,1117,0.9587982832618026,2,0.0017167381974248926
2.9729326909510934,1109,0.951931330472103,2,0.0017167381974248926
3.0603718877437722,1097,0.9416309012875537,2,0.0017167381974248926
3.1478110845364515,1088,0.9339055793991416,2,0.0017167381974248926
3.235250281329131,1076,0.9236051502145923,2,0.0017167381974248926
3.32268947812181,1064,0.9133047210300429,2,0.0017167381974248926
3.410128674914489,1059,0.9090128755364807,2,0.0017167381974248926
3.4975678717071683,1055,0.9055793991416309,2,0.0017167381974248926
3.5850070684998476,1045,0.8969957081545065,2,0.0017167381974248926
3.672446265292527,1032,0.8858369098712446,2,0.0017167381974248926
3.7598854620852062,1022,0.8772532188841202,3,0.002575107296137339
3.847324658877885,1006,0.863519313304721,4,0.0034334763948497852
3.9347638556705644,992,0.8515021459227468,4,0.0034334763948497852
4.022203052463244,973,0.8351931330472103,5,0.004291845493562232
4.109642249255923,960,0.8240343347639485,6,0.005150214592274678
4.197081446048602,944,0.8103004291845494,6,0.005150214592274678
4.284520642841281,918,0.7879828326180257,6,0.005150214592274678
4.371959839633961,894,0.7673819742489271,7,0.006008583690987125
4.45939903642664,869,0.7459227467811159,7,0.006008583690987125
4.546838233219319,842,0.7227467811158799,8,0.0068669527896995704
4.634277430011998,819,0.7030042918454935,9,0.007725321888412017
4.721716626804677,798,0.6849785407725322,9,0.007725321888412017
4.809155823597356,768,0.6592274678111588,11,0.00944206008583691
4.896595020390036,739,0.6343347639484979,11,0.00944206008583691
4.984034217182715,712,0.6111587982832618,11,0.00944206008583691
5.0714734139753945,687,0.5896995708154507,13,0.011158798283261802
5.158912610768073,668,0.5733905579399141,14,0.01201716738197425
5.246351807560752,649,0.5570815450643777,15,0.012875536480686695
5.333791004353432,625,0.5364806866952789,15,0.012875536480686695
5.421230201146111,602,0.5167381974248927,17,0.014592274678111588
5.508669397938791,579,0.49699570815450644,19,0.01630901287553648
5.5961085947314695,561,0.4815450643776824,21,0.018025751072961373
5.683547791524148,539,0.46266094420600856,22,0.01888412017167382
5.770986988316828,518,0.4446351931330472,24,0.020600858369098713
5.858426185109507,489,0.41974248927038627,28,0.0240343347639485
5.945865381902187,473,0.40600858369098713,30,0.02575107296137339
6.033304578694866,455,0.3905579399141631,33,0.02832618025751073
6.1207437754875444,444,0.3811158798283262,35,0.030042918454935622
6.208182972280224,432,0.3708154506437768,37,0.03175965665236052
6.295622169072903,418,0.3587982832618026,41,0.0351931330472103
6.383061365865583,404,0.34678111587982835,44,0.03776824034334764
6.470500562658262,391,0.3356223175965665,48,0.041201716738197426
6.5579397594509405,378,0.3244635193133047,49,0.04206008583690987
6.64537895624362,366,0.3141630901287554,50,0.04291845493562232
6.732818153036299,356,0.3055793991416309,54,0.0463519313304721
6.820257349828978,349,0.2995708154506438,54,0.0463519313304721
6.907696546621658,336,0.28841201716738196,61,0.05236051502145923
6.995135743414337,325,0.27896995708154504,64,0.054935622317596564
7.082574940207016,315,0.2703862660944206,69,0.0592274678111588
7.170014136999695,305,0.26180257510729615,72,0.061802575107296136
7.257453333792374,300,0.2575107296137339,76,0.06523605150214593
7.344892530585054,292,0.2506437768240343,80,0.06866952789699571
7.432331727377733,284,0.24377682403433476,86,0.07381974248927038
7.5197709241704125,278,0.23862660944206007,88,0.07553648068669527
7.607210120963091,273,0.23433476394849787,89,0.07639484978540773
7.69464931775577,265,0.22746781115879827,91,0.07811158798283262
7.78208851454845,263,0.2257510729613734,95,0.0815450643776824
7.869527711341129,260,0.22317596566523606,102,0.08755364806866953
7.956966908133809,254,0.21802575107296138,105,0.09012875536480687
8.044406104926487,248,0.2128755364806867,107,0.09184549356223176
8.131845301719167,244,0.2094420600858369,111,0.09527896995708154
8.219284498511845,243,0.20858369098712445,115,0.09871244635193133
